Angle,AutoHitType,AutoPitchType,AwayTeam,BatterId,Batter,BatterSide,BatterTeam,Bearing,CatcherTeam,Date,Distance,ExitSpeed,HomeTeam,HorzBreak,KorBB,InducedVertBreak,PitcherId,Pitcher,PitcherTeam,PitchCall,PitcherThrows,PitchofPA,PlateLocHeight,PlateLocSide,PlayResult,RelSpeed,SpinRate,Strikes,Temporada,Temporada_Anio,id_path,fecha_carga,auto_pitch_type_2
,,Cutter,RAM_ARA,1000358452.0,Roger Aldazaba Pimienta,Right,NEL_BAR,,RAM_ARA,2025-06-27,,,NEL_BAR,4.615,Undefined,9.77902,1000371213.0,Axel De Lira Serna,RAM_ARA,StrikeSwinging,Right,3,3.06055,-0.7071,Undefined,87.86758,2114.020758,0,LMB,Verano-2025,v3/2025/07//07/CSV/20250627-EstadioAlfredo-1.csv,2025-07-07,
6.785708,GroundBall,Four-Seam,RAM_ARA,1000441144.0,Miguel Delgado Uscanga,Right,NEL_BAR,32.072136,RAM_ARA,2025-06-26,57.9099,53.6901,NEL_BAR,9.01174,Undefined,12.58272,1000371220.0,Salvador Ramirez,RAM_ARA,InPlay,Right,1,2.55037,0.05464,Out,88.92903,2140.797587,0,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,Rectas y sinkers
,,Four-Seam,RAM_ARA,1000444939.0,Javier Alejandro Mireles Contreras,Right,NEL_BAR,,RAM_ARA,2025-06-26,,,NEL_BAR,7.54241,Undefined,16.51824,1000202515.0,Pablo Yuren Rodriguez,RAM_ARA,BallCalled,Right,1,2.67979,-1.61439,Undefined,86.43331,2093.244412,0,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,Rectas y sinkers
27.871497,,Changeup,RAM_ARA,1000441147.0,Jeremy Lozano Raygoza,Left,NEL_BAR,,RAM_ARA,2025-06-27,,71.03405,NEL_BAR,5.19524,Undefined,8.92268,1000353354.0,Emiliano Ambrosio Diaz,RAM_ARA,FoulBallNotFieldable,Right,2,2.78473,-0.32793,Undefined,84.08316,1932.725182,0,LMB,Verano-2025,v3/2025/07//07/CSV/20250627-EstadioAlfredo-1.csv,2025-07-07,
,,Curveball,RAM_ARA,1000430927.0,Aram Samuel Castellon Hernandez,Right,NEL_BAR,,RAM_ARA,2025-06-27,,,NEL_BAR,5.90969,Undefined,-0.00441,1000412298.0,Ismael Coronado Silva,RAM_ARA,BallCalled,Left,3,0.52962,0.94231,Undefined,70.28746,1733.203102,2,LMB,Verano-2025,v3/2025/07//07/CSV/20250627-EstadioAlfredo-1.csv,2025-07-07,
7.819733,GroundBall,Curveball,RAM_ARA,1000430927.0,Aram Samuel Castellon Hernandez,Right,NEL_BAR,161.496021,RAM_ARA,2025-06-26,58.75322,58.82827,NEL_BAR,-14.25623,Undefined,-7.21221,834960.0,Oscar Martinez,RAM_ARA,FoulBallNotFieldable,Right,6,1.5162,-0.15772,Undefined,75.14444,2802.445743,2,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,
,,Changeup,RAM_ARA,1000441144.0,Miguel Delgado Uscanga,Right,NEL_BAR,,RAM_ARA,2025-06-26,,,NEL_BAR,-12.77985,Undefined,10.22001,1000324973.0,Francisco Garcia,RAM_ARA,FoulBallNotFieldable,Left,5,2.0323,-0.36999,Undefined,83.20628,2246.879885,1,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,
11.767459,GroundBall,Sinker,RAM_ARA,1000444939.0,Javier Alejandro Mireles Contreras,Right,NEL_BAR,1.074377,RAM_ARA,2025-06-26,147.09387,72.87045,NEL_BAR,-12.10784,Undefined,9.59249,1000270134.0,Jason Hideky Perez Pena,RAM_ARA,InPlay,Left,1,2.36457,0.37688,Single,87.05199,2099.270617,0,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,Rectas y sinkers
,,Four-Seam,RAM_ARA,1000430927.0,Aram Samuel Castellon Hernandez,Right,NEL_BAR,,RAM_ARA,2025-06-26,,,NEL_BAR,8.89418,Undefined,13.24615,834960.0,Oscar Martinez,RAM_ARA,StrikeCalled,Right,4,2.83852,-1.41154,Undefined,89.63732,2342.21454,1,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,Rectas y sinkers
,,Four-Seam,RAM_ARA,1000430927.0,Aram Samuel Castellon Hernandez,Right,NEL_BAR,,RAM_ARA,2025-06-26,,,NEL_BAR,6.69481,Walk,11.53398,834960.0,Oscar Martinez,RAM_ARA,BallCalled,Right,7,4.68351,0.02832,Undefined,90.24114,2252.46996,2,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,Rectas y sinkers
,,Changeup,RAM_ARA,1000430927.0,Aram Samuel Castellon Hernandez,Right,NEL_BAR,,RAM_ARA,2025-06-27,,,NEL_BAR,-5.10299,Undefined,11.18453,1000412298.0,Ismael Coronado Silva,RAM_ARA,StrikeSwinging,Left,1,2.56039,-0.27534,Undefined,79.89433,1854.42019,0,LMB,Verano-2025,v3/2025/07//07/CSV/20250627-EstadioAlfredo-1.csv,2025-07-07,
,,Four-Seam,RAM_ARA,1000441147.0,Jeremy Lozano Raygoza,Left,NEL_BAR,,RAM_ARA,2025-06-27,,,NEL_BAR,3.86882,Undefined,13.26091,1000279227.0,Luis Angel Valerio,RAM_ARA,BallCalled,Right,5,2.56538,-1.70293,Undefined,88.72895,2279.70175,2,LMB,Verano-2025,v3/2025/07//07/CSV/20250627-EstadioAlfredo-1.csv,2025-07-07,Rectas y sinkers
47.872306,Popup,Changeup,RAM_ARA,1000441144.0,Miguel Delgado Uscanga,Right,NEL_BAR,135.290721,RAM_ARA,2025-06-26,152.00235,57.23664,NEL_BAR,-14.10473,Undefined,6.07268,1000324973.0,Francisco Garcia,RAM_ARA,FoulBallNotFieldable,Left,1,2.84618,-0.2013,Undefined,84.86012,2207.787825,0,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,
36.518091,FlyBall,Slider,RAM_ARA,1000430927.0,Aram Samuel Castellon Hernandez,Right,NEL_BAR,45.10634,RAM_ARA,2025-06-27,273.81875,74.817,NEL_BAR,-4.49477,Undefined,6.50398,1000324977.0,Jesus Jauregui,RAM_ARA,InPlay,Left,1,2.56949,-0.03729,Double,86.27334,2318.425757,0,LMB,Verano-2025,v3/2025/07//07/CSV/20250627-EstadioAlfredo-1.csv,2025-07-07,
