BatterId,id,Batter,birthDate,height,height_ft,strikeZoneTop,strikeZoneBottom,batSide,primaryPosition,active,team,Temporada_Anio
2.0,2,,1900-01-01,"0'0""",6.4,3.543,1.609,Left,N/A,true,SIN_EQUIPO,Verano-2025
570717.0,570717,"Flores, Ramón",1992-03-26,"5' 10""",5.833,3.24,1.456,Left,Outfielder,true,DIA_ROJ,Verano-2025
679296.0,679296,"Bottcher, Matt",1998-01-25,"5' 10""",5.833,3.24,1.456,Left,Outfielder,true,DOR_CHI,Verano-2025
642487.0,642487,"Martinez, Jesus",1995-05-07,"5' 10""",5.833,3.24,1.456,Left,Outfielder,true,BRA_MEX,Verano-2025
669288.0,669288,"Johnson, Daniel",1995-07-11,"5' 10""",5.833,3.24,1.456,Left,Outfielder,true,GEN_MEX,Verano-2025
626843.0,626843,"Guerra, Yosmany",1983-04-27,"5' 10""",5.833,3.24,1.456,Left,Shortstop,true,CON_QUE,Verano-2025
659253.0,659253,"Flores, Aldo",1995-09-30,"5' 10""",5.833,3.24,1.456,Left,Infield,true,SAR_SAL,Verano-2025
656371.0,656371,"Díaz, Isan",1996-05-27,"5' 10""",5.833,3.24,1.456,Left,Second Base,true,VAQ_LAG,Verano-2025
673145.0,673145,"Diaz, Geraldi",2000-07-08,"5' 11""",5.917,3.285,1.478,Left,Catcher,true,GEN_MEX,Verano-2025
692798.0,692798,"Motta, Italo",1998-08-07,"5' 11""",5.917,3.285,1.478,Left,Second Base,true,ROJ_MEX,Verano-2025
642423.0,642423,"Sierra, Magneuris",1996-04-07,"5' 11""",5.917,3.285,1.478,Left,Outfielder,true,ACE_MEX,Verano-2025
679754.0,679754,"Rodriguez, Alberto",2000-10-06,"5' 11""",5.917,3.285,1.478,Left,Outfielder,true,REI_MEX,Verano-2025
571531.0,571531,"Burruel, Sergio",1991-07-22,"5' 11""",5.917,3.285,1.478,Left,Catcher,true,DOR_CHI,Verano-2025
682655.0,682655,"Villalobos, Fernando",2002-06-24,"5' 11""",5.917,3.285,1.478,Left,Catcher,true,DIA_ROJ,Verano-2025
663845.0,663845,"Rivas, Alfonso",1996-09-13,"5' 11""",5.917,3.285,1.478,Left,First Base,true,VAQ_LAG,Verano-2025
664057.0,664057,"Stevenson, Andrew",1994-06-01,"5' 11""",5.917,3.285,1.478,Left,Outfielder,true,PIR_MEX,Verano-2025
500869.0,500869,"Avila, Emmanuel",1988-11-26,"5' 11""",5.917,3.285,1.478,Left,Second Base,true,SAR_SAL,Verano-2025
516472.0,516472,"Arcia, Francisco",1989-09-14,"5' 11""",5.917,3.285,1.478,Left,Catcher,true,ROJ_MEX,Verano-2025
616613.0,616613,"Amador, Rodolfo",1992-11-11,"5' 11""",5.917,3.285,1.478,Left,Third Base,true,ACE_MEX,Verano-2025
